Verslóritgerðir	nvfn-s
straumnum	nkeþg
í	aþ
rannsóknum	nvfþ
sínum	fevfþ
á	aþ
framúrstefnulegum	lvfþsf
hugmyndum	nvfþ
,	,
eins	aa
og	c
tengslum	nhfþ
skammtafræði	nvee
og	c
meðvitundar	nvee
.	.

Í	aþ
meginatriðum	nhfþ
snýst	sfm3en
málið	nheng
[	[
þó	aa
]	]
um	ao
það	fpheo
hvers	fokee
konar	nkee
«	«
veruleiki	nken
»	»
sé	svg3en
eða	c
eigi	svg3en
að	cn
vera	sng
viðfangsefni	nhen
eðlisfræði	nvee
,	,
og	c
að	aþ
hve	aa
miklu	lheþsf
leyti	nheþ
eðlisfræðikenningar	nvfn
geti	svg3fn
gert	ssg
tæmandi	lveoof
grein	nveo
fyrir	aþ
honum	fpkeþ
.	.
»	»

3.2	ta
KAUPMANNAHAFNARTÚLKUNIN	nvengs
Nú	aa
er	sfg3en
vitað	sþghen
að	c
ögn	nven
getur	sfg3en
stundum	aa
hagað	ssg
sér	fpveþ
eins	aa
og	c
ögn	nven
og	c
stundum	aa
eins	aa
og	c
bylgja	nven
.	.

En	c
hvernig	aa
eiga	sfg3fn
vísindamenn	nkfn
að	cn
túlka	sng
það	fpheo
?	?

Samkvæmt	aþ
Bohr	e
er	sfg3en
ögnin	nveng
bara	aa
það	fahen
sem	ct
hún	fpven
er	sfg3en
þegar	c
hún	fpven
er	sfg3en
mæld	sþgven
.	.

Þegar	c
hún	fpven
hegðar	sfg3en
sér	fpveþ
eins	aa
og	c
ögn	nven
þá	aa
er	sfg3en
hún	fpven
ögn	nven
og	c
þegar	c
hún	fpven
hegðar	sfg3en
sér	fpveþ
eins	aa
og	c
bylgja	nven
þá	aa
er	sfg3en
hún	fpven
bylgja	nven
.	.

Ennfremur	aa
þótti	sfg3eþ
honum	fpkeþ
það	fphen
merkingarlaust	lhensf
að	cn
eigna	sng
því	faheþ
sem	ct
ekki	aa
hefur	sfg3en
verið	ssg
mælt	sþghen
nokkra	fokfo
eiginleika	nkfo
eða	c
tilvist	nveo
.	.

Sumir	fokfn
túlka	sfg3fn
þetta	faheo
á	ao
þann	fakeo
hátt	nkeo
að	c
með	aþ
þessu	faheþ
hafi	svg3en
Bohr	e
haldið	ssg
því	fpheþ
fram	aa
að	c
ekkert	fohen
væri	svg3eþ
raunverulegt	lhensf
nema	c
það	fphen
væri	svg3eþ
athugað	sþghen
en	c
aðrir	fokfn
hafna	sfg3fn
því	fpheþ
og	c
vísa	sfg3fn
til	ae
þess	fphee
að	c
hann	fpken
minnist	sfm3en
hvergi	aa
á	ao
meðvitaðan	lkeosf
athuganda	nkeo
.	.

Kaupmannahafnartúlkun	nven-s
Bohrs	e
er	sfg3en
útbreiddasta	lvenve
túlkunin	nveng
á	aþ
skammtafræði	nveþ
í	ao
dag	nkeo
.	.

Það	fphen
eru	sfg3fn
vissulega	aa
til	aa
margar	lvfnsf
aðrar	fovfn
túlkanir	nvfn
og	c
sumar	fovfn
byggja	sfg3fn
á	aþ
Kaupmannahafnartúlkuninni	nveþgs
en	c
þrátt	aa
fyrir	ao
það	fpheo
hefur	sfg3en
hún	fpven
haldið	ssg
velli	nkeþ
sem	ct
sú	faven
greinarbesta	lvenve
,	,
ekki	aa
síst	aae
vegna	ae
þess	fphee
að	c
hún	fpven
gefur	sfg3en
heilstæða	lveosf
mynd	nveo
og	c
reynir	sfg3en
ekki	aa
að	cn
segja	sng
meira	lheovm
en	c
hægt	lhensf
er	sfg3en
að	cn
sanna	sng
.	.

Hún	fpven
er	sfg3en
ekki	aa
gallalaus	lvensf
og	c
ég	fp1en
mun	sfg1en
ræða	sng
aðra	fokfo
möguleika	nkfo
síðar	aam
,	,
en	c
þrátt	aa
fyrir	ao
það	fpheo
hefur	sfg3en
hún	fpven
staðið	ssg
óhögguð	lvensf
í	ao
rúm	lhfosf
sjötíu	tfhfo
ár	nhfo
og	c
engum	fokeþ
hefur	sfg3en
tekist	ssm
að	cn
leggja	sng
fram	aa
betri	lveovm
tillögu	nveo
.	.

Einn	foken
helsti	lkenve
vandinn	nkeng
við	ao
Kaupmannahafnartúlkunina	nveogs
er	sfg3en
sá	faken
að	c
samkvæmt	aþ
henni	fpveþ
virðist	sfm3en
skammtafræðin	nveng
ekki	aa
vera	sng
heil	lvensf
kenning	nven
.	.

Fræðilegur	lkensf
bakgrunnur	nken
hennar	fpvee
er	sfg3en
vissulega	aa
skýr	lkensf
en	c
eftir	aa
stendur	sfg3en
að	c
raunveruleikinn	nkeng
sem	ct
hún	fpven
lýsir	sfg3en
er	sfg3en
afar	aa
brotakenndur	lkensf
.	.

Hún	fpven
skilur	sfg3en
því	aa
eftir	aa
stórar	lvfosf
heimspekilegar	lvfosf
spurningar	nvfo
eins	aa
og	c
hvað	fshen
er	sfg3en
raunveruleikinn	nkeng
?	?

og	c
hvað	fshen
er	sfg3en
mæling	nven
?	?

Kaupmannahafnartúlkunin	nvengs
reynir	sfg3en
að	cn
leysa	sng
þennan	fakeo
vanda	nkeo
með	aþ
því	fpheþ
að	cn
segja	sng
að	c
raunveruleikinn	nkeng
sé	svg3en
það	fahen
sem	c
mælt	sþghen
sé	svg3en
.	.

En	c
þá	aa
er	sfg3en
mælitækið	nheng
hins	fakee
vegar	nkee
ekki	aa
raunverulegt	lhensf
fyrr	aam
en	c
það	fphen
er	sfg3en
mælt	sþghen
og	c
svo	aa
koll	nkeo
af	aþ
kolli	nkeþ
og	c
erfitt	lhensf
að	cn
sjá	sng
fyrir	ao
endann	nkeog
á	aþ
þeirri	faveþ
runu	nveþ
.	.

3.3	ta
EPR	as
ÞVERSÖGNIN	nveng
«	«
Albert	nken-s
Einstein	e
var	sfg3eþ
einn	tfken
af	aþ
brautryðjendum	nkfþ
líkindatúlkunarinnar	nveeg
í	aþ
skammtafræði	nveþ
.	.

Hann	fpken
virtist	sfm3eþ
í	aþ
raun	nveþ
aldrei	aa
hafa	sng
dregið	ssg
í	ao
efa	nkeo
að	c
hún	fpven
væri	svg3eþ
rétt	lvensf
,	,
heldur	c
gagnrýndi	sfg3eþ
hann	fpken
fyrst	aae
og	c
fremst	aae
þá	faveo
skoðun	nveo
að	c
skammtafræði	nven
gæfi	svg3eþ
tæmandi	lveoof
(	(
e.	as
complete	e
)	)
lýsingu	nveo
á	aþ
veruleikanum	nkeþg
.	.
»	»

Árið	nheog
1935	ta
birtu	sfg3fþ
Einstein	e
,	,
Podolsky	e
og	c
Rosen	e
hina	gveo
frægu	lveovf
EPR	as
þversögn	nveo
sem	ct
var	sfg3eþ
hönnuð	sþgven
til	ae
að	cn
sanna	sng
á	aþ
hreinum	lkeþsf
fræðilegum	lkeþsf
grundvelli	nkeþ
að	c
hluthyggjuafstaðan	nveng
væri	svg3eþ
sú	faven
eina	lvenvf
haldbæra	lvenvf
.	.

«	«
Höfundarnir	nkfng
tóku	sfg3fþ
sér	fpkfþ
fyrir	ao
hendur	nvfo
að	cn
skilgreina	sng
hvenær	aa
kenning	nven
gæti	svg3eþ
talizt	ssg
tæmandi	lvenof
og	c
síðan	aa
að	cn
sanna	sng
að	c
skammtafræði	nven
félli	svg3eþ
ekki	aa
í	ao
flokk	nkeo
slíkra	fbvfe
kenninga	nvfe
.	.

Þess	fphee
vegna	ae
töldu	sfg3fþ
þeir	fpkfn
að	c
skammtafræði	nven
hlyti	svg3eþ
fyrr	aam
eða	c
síðar	aam
að	cn
víkja	sng
fyrir	aþ
annarri	foveþ
og	c
betri	lveþvm
kenningu	nveþ
.	.

Nær	aam
öll	foven
síðari	lvenvm
umræða	nven
um	ao
túlkun	nveo
skammtafræðinnar	nveeg
hefur	sfg3en
að	aþ
einhverju	foheþ
leyti	nheþ
snúizt	ssm
um	ao
efni	nheo
þessarar	favee
greinar	nvee
.	.
»	»

Skilgreining	nven
þeirra	fpkfe
Einsteins	nkee-s
,	,
Podolskys	e
og	c
Rosens	e
á	aþ
hugtakinu	nheþg
tæmandi	lvenof
kenning	nven
(	(
e.	as
complete	e
theory	e
)	)
er	sfg3en
þessi	faven
:	:
Hvaða	fsken
skilningur	nken
sem	ct
lagður	sþgken
er	sfg3en
í	ao
orðið	nheog
tæmand	x
,	,
virðist	sfm3en
eftirfarandi	lvenof
krafa	nven
vera	sng
nauðsynleg	lvensf
:	:
Sérhver	foken
þáttur	nken
efnisveruleikans	nkeeg
verður	sfg3en
að	cn
eiga	sng
sér	fpkeþ
samsvörun	nveo
í	aþ
kenningunni	nveþg
.	.

Þeir	fpkfn
skilgreindu	sfg3fþ
ekki	aa
hið	gheo
vafasama	lheovf
hugtak	nheo
«	«
þáttur	nken
efnisveruleikans	nkeeg
»	»
og	c
enduðu	sfg3fþ
grein	nveo
sína	feveo
á	aþ
því	fpheþ
að	cn
segja	sng
að	c
þó	aa
þeir	fpkfn
hafi	svg3fn
sannað	ssg
að	c
bylgjufallið	nheng
gæfi	svg3eþ
ekki	aa
tæmandi	lveoof
lýsingu	nveo
á	aþ
efnisveruleikanum	nkeþg
,	,
þá	aa
hafi	svg3en
þeir	fpkfn
ekki	aa
svarað	ssg
þeirri	faveþ
spurningu	nveþ
hvort	c
slík	fbven
tæmandi	lvenof
lýsing	nven
væri	svg3eþ
til	aa
.	.

Þeir	fpkfn
hafi	svg3fn
hins	fakee
vegar	nkee
þá	faveo
trú	nveo
að	c
slík	fbven
kenning	nven
sé	svg3en
hugsanleg	lvensf
.	.
»	»

David	e
Bohm	e
gerði	sfg3eþ
einfaldaða	lveosf
útgáfu	nveo
af	aþ
EPR	as
þversögninni	nveþg
en	c
hún	fpven
er	sfg3en
eftirfarandi	lvenof
:	:
Píeindin	nveng
er	sfg3en
öreind	nven
sem	ct
hefur	sfg3en
enga	foveo
hleðslu	nveo
en	c
hún	fpven
getur	sfg3en
hrörnað	ssg
í	ao
neikvætt	aa
hlaðna	lveosf
rafeind	nveo
og	c
jákvætt	aa
hlaðna	lveosf
jáeind	nveo
.	.

Það	fphen
þýðir	sfg3en
að	c
píeindin	nveng
hættir	sfg3en
að	cn
vera	sng
til	aa
og	c
þessar	favfn
tvær	tfvfn
gagnstætt	aa
hlöðnu	lvfnvf
eindir	nvfn
koma	sfg3fn
í	ao
staðinn	nkeog
.	.

Ef	c
píeindin	nveng
er	sfg3en
kyrr	lvensf
þegar	c
hrörnunin	nveng
á	sfg3en
sér	fpveþ
stað	nkeo
fljúga	sfg3fn
rafeindin	nveng
og	c
jáeindin	nveng
burt	aa
í	ao
sitthvora	foveo
áttina	nveog
við	ao
hrörnun	nveo
.	.

Píeindin	nveng
hefur	sfg3en
spuna	nkeo
núll	tfheo
til	ae
þess	fphee
að	cn
varðveita	sng
hverfiþunga	nkeo
(	(
e.	as
angular	e
momentum	e
)	)
og	c
þess	fphee
vegna	ae
þurfa	sfg3fn
rafeindin	nveng
og	c
jáeindin	nveng
að	cn
hafa	sng
gagnstæðan	lkeosf
spuna	nkeo
svo	aa
hann	fpken
styttist	svm3en
út	aa
.	.

Þetta	fahen
þýðir	sfg3en
að	c
ef	c
rafeindin	nveng
hefur	sfg3en
spuna	nkeo
upp	aa
þá	aa
verður	sfg3en
jáeindin	nveng
að	cn
hafa	sng
spuna	nkeo
niður	aa
eða	c
öfugt	lheosf
.	.

Skammtafræði	nven
getur	sfg3en
ekki	aa
sagt	ssg
fyrir	aa
um	aa
hvor	foven
samsetningin	nveng
verður	sfg3en
hverju	foheþ
sinni	nheþ
,	,
en	c
að	aþ
meðaltali	nheþ
í	aþ
helmingi	nkeþ
tilfella	nhfe
hefur	sfg3en
rafeindin	nveng
spuna	nkeo
upp	aa
og	c
jáeindin	nveng
spuna	nkeo
niður	aa
og	c
í	aþ
helmingi	nkeþ
tilfella	nhfe
hefur	sfg3en
rafeindin	nveng
spuna	nkeo
niður	aa
og	c
jáeindin	nveng
spuna	nkeo
upp	aa
.	.

Nú	aa
er	sfg3en
rafeindinni	nveþg
og	c
jáeindinni	nveþg
leyft	sþghen
að	cn
fljúga	sng
lengi	aa
í	ao
sitthvora	foveo
áttina	nveog
þannig	aa
að	c
bilið	nheng
á	aa
milli	ae
þeirra	fpvfe
verði	svg3en
til	ae
dæmis	nhee
eitt	tfhen
ljósár	nhen
.	.

Svo	aa
er	sfg3en
spuni	nken
rafeindarinnar	nveeg
mældur	sþgken
.	.

Gerum	sfg1fn
ráð	nheo
fyrir	aþ
að	c
spuninn	nkeng
sé	svg3en
upp	aa
.	.

Þá	aa
er	sfg3en
samstundis	aa
ljóst	lhensf
að	c
ef	c
einhver	foken
mæli	svg3en
jáeindina	nveog
í	aþ
ljósárs	nhee
fjarlægð	nveþ
þá	aa
mun	sfg3en
hann	fpken
alltaf	aa
fá	sng
spuna	nkeo
niður	aa
.	.

Fyrir	ao
hluthyggjumanninn	nkeog
kemur	sfg3en
þessi	faven
niðurstaða	nven
ekki	aa
á	ao
óvart	lheosf
því	fpheþ
rafeindin	nveng
hafði	sfg3eþ
raunverulega	aa
spuna	nkeo
upp	aa
og	c
jáeindin	nveng
því	aa
spuna	nkeo
niður	aa
frá	aþ
þeirri	faveþ
stundu	nveþ
sem	ct
þær	fpvfn
voru	sfg3fþ
skapaðar	sþgvfn
en	c
ástæðan	nveng
fyrir	aþ
því	fpheþ
að	c
skammtafræðin	nveng
gat	sfg3eþ
ekki	aa
spáð	ssg
fyrir	aa
um	ao
það	fpheo
er	sfg3en
sú	faven
að	c
það	fphen
hreinlega	aa
vantaði	sfg3eþ
eitthvað	foheo
í	ao
hana	fpveo
.	.

Rétttrúnaðarmennirnir	nkfng
trúa	sfg3fn
því	fpheþ
hins	fakee
vegar	nkee
að	c
eindirnar	nvfng
hafi	svg3fn
hvorki	c
haft	ssg
spuna	nkeo
upp	aa
né	c
niður	aa
fyrr	aam
en	c
mæling	nven
var	sfg3eþ
framkvæmd	sþgven
á	aþ
rafeindinni	nveþg
og	c
því	aa
hafi	svg3en
mælingin	nveng
varpað	ssg
bylgjujöfnunni	nveþg
á	ao
ákveðið	lheosf
gildi	nheo
og	c
þannig	aa
búið	ssg
til	aa
spuna	nkeo
fyrir	ao
jáeindina	nveog
í	aþ
ljósárs	nhee
fjarlægð	nveþ
.	.

Einstein	e
,	,
Podolsky	e
og	c
Rosen	e
fannst	sfm3eþ
slík	fbven
skuggaleg	lvensf
fjarlægðarvirkni	nven
(	(
eins	aa
og	c
Einstein	e
orðaði	sfg3eþ
það	fpheo
)	)
vera	sng
fáránleg	lvensf
.	.

Það	fphen
var	sfg3eþ
nú	aa
líka	aa
annað	fohen
af	aþ
tveimur	tfhfþ
grundvallaratriðum	nhfþ
afstæðiskenningar	nvee
Einsteins	nkee-s
að	c
ekkert	fohen
gæti	svg3eþ
farið	ssg
hraðar	aam
en	c
ljós	nhen
.	.

Því	aa
þyrfti	svg3eþ
það	fphen
,	,
með	aþ
endanlegum	lkeþsf
hámarkshraða	nkeþ
boðskipta	nhfe
,	,
að	cn
taka	sng
jáeindina	nveog
alla	fokfo
vega	nkfo
eitt	tfheo
ár	nheo
að	cn
«	«
átta	sng
sig	fpveo
á	aþ
því	fpheþ
»	»
að	c
hún	fpven
hefði	svg3eþ
spuna	nkeo
niður	aa
.	.

Þeir	fpkfn
komust	sfm3fþ
því	aa
að	aþ
þeirri	faveþ
niðurstöðu	nveþ
að	c
rétttrúnaðarafstaðan	nveng
væri	svg3eþ
óásættanleg	lvensf
og	c
að	c
rafeindin	nveng
og	c
jáeindin	nveng
hlytu	svg3fþ
að	cn
hafa	sng
haft	ssg
skýrt	aa
afmarkaðan	lkeosf
spuna	nkeo
strax	aa
frá	aþ
byrjun	nveþ
,	,
hvort	c
sem	c
skammtafræðin	nveng
gæti	svg3eþ
spáð	ssg
fyrir	aa
um	ao
það	fpheo
eða	c
ekki	aa
.	.

Grundvallarályktunin	nveng
sem	ct
EPR	as
þversögnin	nveng
hvílir	sfg3en
á	aa
er	sfg3en
þar	aa
af	aa
leiðandi	slg
sú	faven
að	c
engin	fohfn
áhrif	nhfn
geti	svg3fn
ferðast	ssm
hraðar	aam
en	c
á	aþ
ljóshraða	nkeþ
.	.

Einhverjir	fokfn
gætu	svg3fþ
freistast	ssm
til	ae
að	cn
leggja	sng
til	ae
að	c
vörpun	nven
bylgjujöfnunnar	nveeg
sé	svg3en
ekki	aa
tafarlaus	lvensf
,	,
heldur	c
«	«
ferðist	svm3en
»	»
á	aþ
endanlegum	lkeþsf
hraða	nkeþ
.	.

Það	fphen
myndi	svg3eþ
hins	fakee
vegar	nkee
leiða	sng
til	ae
brots	nhee
á	aþ
lögmálinu	nheþg
um	ao
varðveislu	nveo
hverfiþunga	nkee
,	,
því	fpheþ
ef	c
við	fp1fn
mældum	svg1fþ
spuna	nkeo
jáeindarinnar	nveeg
áður	aa
en	c
fréttirnar	nvfng
af	aþ
vörpuninni	nveþg
hefðu	svg3fþ
náð	ssg
að	cn
berast	snm
til	ae
hennar	fpvee
myndu	svg3fþ
vera	sng
helmingslíkur	nvfn
á	aþ
því	fpheþ
að	c
báðar	fovfn
eindirnar	nvfng
myndu	svg3fþ
hafa	sng
spuna	nkeo
upp	aa
.	.

Öllum	fovfþ
tilraunum	nvfþ
ber	sfg3en
saman	aa
um	ao
að	c
slíkt	fbhen
gerist	svm3en
ekki	aa
og	c
að	c
andstæður	lkensf
spuni	nken
agnanna	nvfeg
sé	svg3en
ófrávíkjanlegur	lkensf
.	.

Það	fphen
er	sfg3en
því	aa
ljóst	lhensf
að	c
vörpun	nven
bylgjujöfnunnar	nveeg
er	sfg3en
tafarlaus	lvensf
.	.

Eftir	ao
að	c
EPR	as
þversögnin	nveng
var	sfg3eþ
sett	sþgven
fram	aa
ríkti	sfg3eþ
óvissuástand	nhen
um	ao
skammtafræði	nveo
þar	aa
sem	c
þversögnin	nveng
þótti	sfg3eþ
sýna	sng
að	c
annaðhvort	c
væri	svg3eþ
hún	fpven
ófullnægjandi	lvenof
kenning	nven
sem	ct
tækist	svm3eþ
ekki	aa
að	cn
gera	sng
grein	nveo
fyrir	aþ
mikilvægum	lhfþsf
atriðum	nhfþ
veruleikans	nkeeg
eða	c
að	c
hún	fpven
bryti	svg3eþ
í	ao
bága	nkeo
við	ao
grundvallarkenningu	nveo
Einsteins	nkee-s
að	c
eðlisfræðileg	lhfnsf
áhrif	nhfn
yrðu	svg3fþ
að	cn
ferðast	snm
á	aþ
endanlegum	lkeþsf
hraða	nkeþ
.	.

Einstein	e
,	,
Podolsky	e
og	c
Rosen	e
efuðust	sfm3fþ
ekki	aa
um	ao
að	c
skammtafræði	nven
væri	svg3eþ
rétt	lvensf
svo	aa
langt	aa
sem	c
hún	fpven
næði	svg3eþ
en	c
trúðu	sfg3fþ
að	c
hún	fpven
væri	svg3eþ
ófullkomin	lvensf
lýsing	nven
á	aþ
efnisheiminum	nkeþg
.	.

Þeir	fpkfn
héldu	sfg3fþ
því	fpheþ
fram	aa
að	c
með	aþ
bylgjujöfnunni	nveþg
væri	svg3eþ
ekki	aa
öll	foven
sagan	nveng
sögð	sþgven
heldur	c
yrði	svg3eþ
að	cn
vera	sng
til	aa
önnur	foven
stærð	nven
til	ae
viðbótar	nvee
sem	ct
myndi	svg3eþ
fullkomna	sng
lýsinguna	nveog
.	.

Þessi	faven
stærð	nven
hefur	sfg3en
nú	aa
verið	ssg
kölluð	sþgven
hulin	lvensf
breyta	nven
,	,
því	fpheþ
á	aþ
þeim	fakeþ
tíma	nkeþ
var	sfg3eþ
hvorki	c
vitað	sþghen
hvernig	aa
ætti	svg3eþ
að	cn
reikna	sng
hana	fpveo
né	c
mæla	sng
.	.

Í	aa
gegnum	ao
árin	nhfog
hefur	sfg3en
fjöldi	nken
slíkra	fbvfe
kenninga	nvfe
komið	ssg
fram	aa
og	c
allt	fohen
til	ae
ársins	nheeg
1964	ta
virtist	sfm3eþ
það	fphen
þess	fphee
virði	nhen
að	cn
rannsaka	sng
þann	fakeo
möguleika	nkeo
.	.

En	c
það	faheo
ár	nheo
sannaði	sfg3eþ
breski	lkenvf
eðlisfræðingurinn	nkeng
John	e
S.	as
Bell	e
að	c
sérhver	foven
kenning	nven
sem	ct
innihéldi	svg3eþ
staðbundna	lveosf
hulda	lveosf
breytu	nveo
væri	svg3eþ
ósamræmanleg	lvensf
skammtafræði	nven
.	.

Kennisetning	nven
(	(
e.	as
theorem	e
)	)
Bells	e
var	sfg3eþ
bylting	nven
þegar	c
hún	fpven
kom	sfg3eþ
fram	aa
en	c
hún	fpven
sýnir	sfg3en
að	c
forspár	nvfn
skammtafræðinnar	nveeg
séu	svg3fn
ólíkar	lvfnsf
því	faheþ
sem	ct
innsæið	nheng
gefi	svg3en
okkur	fp1fþ
.	.

Hún	fpven
er	sfg3en
stærðfræðilega	aa
einföld	lvensf
og	c
snertir	sfg3en
á	aþ
heimspekilegum	lhfþsf
grundvallaratriðum	nhfþ
sem	ct
tengjast	sfm3fn
nútíma	nkee
eðlisfræði	nveþ
.	.

Í	aþ
einföldustu	lveþve
mynd	nveþ
sinni	feveþ
segir	sfg3en
kenningin	nveng
:	:
Engin	foven
eðlisfræðikenning	nven
sem	ct
nýtir	sfg3en
sér	fpveþ
staðbundnar	lvfosf
huldar	lvfosf
breytur	nvfo
getur	sfg3en
nokkurn	fokeo
tíma	nkeo
getið	ssg
af	aþ
sér	fpveþ
allar	fovfo
forspár	nvfo
skammtafræðinnar	nveeg
.	.

«	«
Bell	e
sýndi	sfg3eþ
að	c
krafan	nveng
um	ao
tæmandi	lveoof
kenningu	nveo
hefði	svg3eþ
í	aþ
för	nveþ
með	aþ
sér	fpveþ
að	c
tilteknar	lvfnsf
mælistærðir	nvfn
í	aþ
slíkum	fbvfþ
tilraunum	nvfþ
hlytu	svg3fþ
að	cn
fullnægja	sng
ójöfnu	nveþ
sem	ct
stangaðist	svm3eþ
á	aa
við	ao
forspár	nvfo
skammtafræðinnar	nveeg
.	.

Ef	c
þessi	faven
ójafna	nven
reyndist	svm3eþ
gilda	sng
í	aþ
raunverulegri	lveþsf
tilraun	nveþ
sýndi	svg3eþ
hún	fpven
að	c
skammtafræði	nveþ
væri	svg3eþ
röng	lvensf
.	.

Ef	c
ójafnan	nveng
stæðist	svm3eþ
á	ao
hinn	fakeo
bóginn	nkeog
ekki	aa
dóm	nkeo
reynslunnar	nveeg
,	,
þá	aa
mætti	svg3eþ
álykta	sng
að	c
engin	foven
tæmandi	lvenof
kenning	nven
næði	svg3eþ
yfir	ao
tilraunir	nvfo
af	aþ
þessu	faheþ
tagi	nheþ
.	.
»	»

Ég	fp1en
mun	sfg1en
ekki	aa
fara	sng
nánar	aam
út	aa
í	ao
þessa	faveo
kennisetningu	nveo
en	c
bendi	sfg1en
áhugasömum	lkfþsf
á	ao
grein	nveo
íslenska	lkeevf
eðlisfræðingsins	nkeeg
Jakobs	nkee-s
Yngvasonar	nkee-s
,	,
Skammtafræði	nven-s
og	c
veruleiki	nken
,	,
þar	aa
sem	c
fjallað	sþghen
er	sfg3en
um	ao
hana	fpveo
í	aþ
skýru	lheþsf
og	c
góðu	lheþsf
máli	nheþ
.	.

Þessi	faven
kenning	nven
hefur	sfg3en
verið	ssg
kölluð	sþgven
mikilvægasta	lvenve
uppgötvun	nven
vísindanna	nhfeg
,	,
en	c
Bell	e
setti	sfg3eþ
hana	fpveo
fram	aa
sem	c
beint	lheosf
andsvar	nheo
við	ao
EPR	as
þversögninni	nveþg
.	.

EPR	as
gerir	sfg3en
ráð	nheo
fyrir	aþ
staðbundinni	lveþsf
hluthyggju	nveþ
,	,
að	c
eiginleikar	nkfn
agnar	nvee
hafi	svg3fn
fyrirfram	aa
ákveðin	lhfosf
gildi	nhfo
óháð	lhfosf
athugun	nveþ
og	c
að	c
eðlisfræðileg	lhfnsf
áhrif	nhfn
hafi	svg3fn
endanlega	lkfosf
samskiptahraða	nkfo
.	.

Ójöfnur	nvfn
Bells	e
sýna	sfg3fn
að	c
staðbundin	lvensf
hluthyggja	nven
leiði	svg3en
til	ae
þess	fphee
að	c
vissar	lvfnsf
tegundir	nvfn
fyrirbæra	nhfe
séu	svg3fn
nauðsynleg	x
sem	ct
eru	sfg3fn
ekki	aa
til	aa
samkvæmt	aþ
skammtafræðinni	nveþg
.	.

Af	aþ
því	fpheþ
leiðir	sfg3en
að	c
annaðhvort	c
er	sfg3en
skammtafræði	nven
eða	c
staðbundin	lvensf
hluthyggja	nven
röng	lvensf
.	.

Tilraunir	nvfn
styðja	sfg3fn
allar	fovfn
kenningu	nveo
Bell	e
og	c
þar	aa
með	aa
skammtafræði	nveo
og	c
sýna	sfg3fn
að	c
ójöfnur	nvfn
hans	fpkee
geti	svg3fn
ekki	aa
staðist	ssm
.	.

Það	fphen
er	sfg3en
ómögulegt	lhensf
að	c
agnirnar	nvfng
tvær	tfvfn
hafi	svg3fn
fyrirframstillta	lveosf
hreyfihegðun	nveo
sem	ct
verði	svg3en
til	ae
þess	fphee
að	c
þær	fpvfn
dansi	svg3fn
alltaf	aa
í	ao
sitthvora	foveo
áttina	nveog
heldur	c
svífa	sfg3fn
þær	fpvfn
um	aa
í	aþ
líkindaskýi	nheþ
þessara	fakfe
beggja	fokfe
möguleika	nkfe
á	aþ
öllum	fokfþ
tímum	nkfþ
þar	aa
til	aa
mæling	nven
fer	sfg3en
fram	aa
.	.

Það	fphen
gefur	sfg3en
skýra	lveosf
andstöðu	nveo
við	ao
staðbundnu	lveovf
hluthyggjuna	nveog
og	c
sýnir	sfg3en
að	c
skuggaleg	lvensf
fjarlægðarvirkni	nven
eigi	svg3en
sér	fpveþ
raunverulega	aa
stað	nkeo
.	.

Afstæðiskenningin	nveng
stendur	sfg3en
hins	fakee
vegar	nkee
af	aþ
sér	fpveþ
höggið	nheog
vegna	ae
samskiptaleysiskenningarinnar	nveeg
(	(
e.	as
no	e
communication	e
theorem	e
)	)
sem	ct
sannar	sfg3en
að	c
athugendurnir	nkfng
tveir	tfkfn
geta	sfg3fn
ekki	aa
nýtt	ssg
þessi	fahfo
undarlegu	lhfovf
fjarskipti	nhfo
til	ae
að	cn
koma	sng
boðum	nhfþ
til	ae
hvors	x
annars	fokee
á	aþ
meiri	lkeþvm
hraða	nkeþ
en	c
ljóshraða	nkeþ
.	.

Þegar	c
Bell	e
skoðaði	sfg3eþ
EPR	as
þversögnina	nveog
nánar	aam
komst	sfm3eþ
hann	fpken
að	aþ
því	fpheþ
að	c
hún	fpven
sannaði	sfg3eþ
svolítið	lheosf
mun	nkeþ
róttækara	lheovm
en	c
höfundarnir	nkfng
höfðu	sfg3fþ
gert	ssg
ráð	nheo
fyrir	aa
,	,
nefnilega	aa
að	c
ef	c
þeir	fpkfn
hefðu	svg3fþ
rétt	lheosf
fyrir	aþ
sér	fpkfþ
þá	aa
væri	svg3eþ
skammtafræði	nven
ekki	aa
aðeins	aa
ófullkomin	lvensf
,	,
heldur	c
beinlínis	aa
röng	lvensf
.	.

Hins	fakee
vegar	nkee
,	,
ef	c
skammtafræði	nven
væri	svg3eþ
rétt	lvensf
,	,
þá	aa
myndi	svg3eþ
engin	foven
kenning	nven
um	ao
hulda	lveosf
breytu	nveo
bjarga	sng
henni	fpveþ
frá	aþ
staðleysunni	nveþg
sem	ct
Einstein	e
fannst	sfm3eþ
vera	sng
svo	aa
fráleit	lvensf
.	.

Nú	aa
eru	sfg3fn
til	aa
afar	aa
einfaldar	lvfnsf
tilraunir	nvfn
sem	ct
útkljá	sfg3fn
málið	nheog
í	ao
eitt	foheo
skipti	nheo
fyrir	ao
öll	fohfo
en	c
þær	fpvfn
styðja	sfg3fn
allar	fovfn
niðurstöður	nvfo
skammtafræðinnar	nveeg
.	.

«	«
